school_name,district_name,date,school_year,year,time,day_of_week,city,state,school_type,enrollment,killed,injured,casualties,shooting_type,age_shooter1,gender_shooter1,race_ethnicity_shooter1,shooter_relationship1,shooter_deceased1,resource_officer,weapon,weapon_source,lat,long,staffing,low_grade,high_grade,lunch,county,ulocale,presence_second_shooter
Columbine High School,Jefferson County R-1,4/20/1999,1998-1999,1999,11:19:00,Tuesday,Littleton,Colorado,public,1965,13,21,34,indiscriminate,18,m,w,student,1.0,1,"12-gauge Savage-Springfield 67H pump-action shotgun, Hi-Point 995 Carbine 9 mm carbine, 9_19mm Intratec TEC-9 semi-automatic handgun, 12-gauge Stevens 311D double-barreled sawed-off shotgun",purchased from friends,39.60391,-105.075,89.6,9,12,41.0,Jefferson County,21.0,1
Scotlandville Middle School,East Baton Rouge Parish School Board,4/22/1999,1998-1999,1999,12:30:00,Thursday,Baton Rouge,Louisiana,public,588,0,1,1,targeted,14,m,Unknown,former student (expelled),0.0,0,.22 caliber pistol,Unknown,30.529958,-91.169966,39.0,6,8,495.0,East Baton Rouge Parish,12.0,0
Heritage High School,Rockdale County,5/20/1999,1998-1999,1999,08:03:00,Thursday,Conyers,Georgia,public,1369,0,6,6,indiscriminate,15,m,w,student,0.0,1,".22 caliber rifle, 357-caliber Magnum handgun",Unknown,33.626922,-84.04796,84.0,9,12,125.0,Rockdale County,21.0,0
John Bartram High School,Philadelphia City SD,10/4/1999,1999-2000,1999,10:00:00,Monday,Philadelphia,Pennsylvania,public,3147,0,1,1,targeted,17,m,Unknown,student,0.0,1,RG .25-caliber pistol,purchased from friend,39.921509,-75.234108,41.0,9,12,2007.0,Philadelphia County,11.0,0
Dorchester High School,Boston,11/3/1999,1999-2000,1999,07:40:00,Wednesday,Boston,Massachusetts,public,1116,0,1,1,targeted,19,m,Unknown,Unknown,0.0,0,Unknown,Unknown,42.285268,-71.075901,55.3,9,12,543.0,Suffolk County,11.0,0
Deming Middle School,Deming Public Schools,11/19/1999,1999-2000,1999,12:45:00,Friday,Deming,New Mexico,public,753,1,0,1,accidental or targeted,12,m,h,student,0.0,0,.22-caliber Colt revolver,home,32.261547,-107.762986,44.0,6,7,502.0,Luna County,33.0,0
Fort Gibson Middle School,Fort Gibson,12/6/1999,1999-2000,1999,07:45:00,Monday,Fort Gibson,Oklahoma,public,407,0,5,5,indiscriminate,13,m,ai,student,0.0,0,Taurus 9mm pistol,father,35.795556,-95.241921,25.4,6,8,146.0,Muskogee County,32.0,0
Ridgewood High School,Pasco,1/19/2000,1999-2000,2000,15:00:00,Wednesday,New Port Richey,Florida,public,1852,1,0,1,accidental,16,m,w,student,0.0,1,.22-caliber Magnum handgun,stolen,28.273253,-82.687231,85.0,9,12,654.0,Pasco County,21.0,0
Alicia Reyes Elementary School,Merced City Elementary,1/26/2000,1999-2000,2000,08:34:00,Wednesday,Merced,California,public,734,0,0,0,targeted,13,m,Unknown,no connection,0.0,0,.22 caliber revolver,Unknown,37.286387,-120.494808,36.0,KG,5,643.0,Merced County,13.0,0
Duke Ellington Elementary School,City of Chicago School District 299,2/14/2000,1999-2000,2000,,Monday,Chicago,Illinois,public,736,0,1,1,accidental,11,m,Unknown,student,0.0,0,Unknown,Unknown,41.885272,-87.766042,37.0,PK,6,488.0,Cook County,11.0,0
Horn Lake High School,Desoto County School District,2/22/2000,1999-2000,2000,,Tuesday,Horn Lake,Mississippi,public,1197,0,0,0,targeted,19,m,Unknown,Unknown,0.0,0,handgun,Unknown,34.948919,-90.035423,65.0,9,12,324.0,DeSoto County,21.0,0
Tecumseh High School,Tecumseh,2/24/2000,1999-2000,2000,09:00:00,Thursday,Tecumseh,Oklahoma,public,711,0,0,0,targeted,19,m,Unknown,former boyfriend of student,0.0,0,Unknown,Unknown,35.255494,-96.943184,45.5,9,12,184.0,Pottawatomie County,32.0,0
Buell Elementary School,Beecher Community School District,2/29/2000,1999-2000,2000,10:00:00,Tuesday,Mount Morris Township,Michigan,public,459,1,0,1,targeted,6,m,b,student,0.0,0,.32-caliber semiautomatic handgun,"uncle's friend, found in open shoebox",43.079604,-83.706037,20.0,KG,4,421.0,Genesee County,21.0,0
Hugo High School,Hugo,4/6/2000,1999-2000,2000,12:00:00,Thursday,Hugo,Oklahoma,public,499,0,1,1,targeted,33,f,Unknown,parent of student,0.0,1,small-caliber pistol,legally purchased by shooter,34.010732,-95.511435,34.7,9,12,236.0,Choctaw County,33.0,0
Carmichael Elementary School,Sierra Vista Unified District,5/10/2000,1999-2000,2000,13:30:00,Wednesday,Sierra Vista,Arizona,public,397,1,0,1,targeted,39,m,Unknown,spouse of teacher,1.0,0,Unknown,Unknown,31.56269,-110.29924,24.5,KG,5,488.0,Cochise County,13.0,0
Lake Worth Middle School,Palm Beach County School District,5/26/2000,1999-2000,2000,15:00:00,Friday,Lake Worth,Florida,public,1525,1,0,1,targeted,13,m,b,student,0.0,0,.25-caliber handgun,grandfather,26.451351,-80.085968,95.0,6,8,1186.0,Palm Beach County,21.0,0
Dimmitt Middle School,Renton,7/17/2000,1999-2000,2000,10:30:00,Monday,Renton,Washington,public,956,0,0,0,indiscriminate,13,m,w,student in summer school,0.0,0,.22-caliber handgun,grandparents,47.493015,-122.233115,42.3,6,8,488.0,King County,21.0,0
Mount Healthy North Junior High,Mount Healthy City SD,9/18/2000,2000-2001,2000,,Monday,Mount Healthy,Ohio,public,341,0,0,0,indiscriminate,14,m,Unknown,student,0.0,1,.380-caliber semiautomatic handgun,relatives,39.251506,-84.555558,22.8,7,8,163.0,Hamilton County,21.0,0
Carter G. Woodson Middle School,Orleans Parish School Board,9/26/2000,2000-2001,2000,12:00:00,Tuesday,New Orleans,Louisiana,public,686,0,1,1,targeted,13,m,Unknown,student,0.0,0,.38-caliber revolver,Unknown,29.939676,-90.090046,45.0,6,8,551.0,Orleans Parish,11.0,0
Hueneme High School,Oxnard Union High,1/10/2001,2000-2001,2001,12:50:00,Wednesday,Oxnard,California,public,2764,0,0,0,targeted,17,m,h,not a student but often hung around the school,1.0,1,handgun,Unknown,34.160149,-119.1822,110.2,9,12,1169.0,Ventura County,12.0,0
Lake Clifton Eastern High School,Baltimore City Public Schools,1/17/2001,2000-2001,2001,08:45:00,Wednesday,Baltimore,Maryland,public,2236,1,0,1,targeted,19,m,Unknown,none,0.0,0,.32-caliber handgun,Unknown,39.316116,-76.590038,126.5,PK,12,914.0,Baltimore City,11.0,0
Pearl C. Anderson Middle School,Dallas ISD,2/6/2001,2000-2001,2001,,Tuesday,Dallas,Texas,public,879,0,1,1,targeted,14,m,Unknown,student (suspended),0.0,1,small revolver,Unknown,32.759323,-96.744389,89.3,7,8,607.0,Dallas County,11.0,0
Santana High School,Grossmont Union High,3/5/2001,2000-2001,2001,09:20:00,Monday,Santee,California,public,1894,2,13,15,indiscriminate,15,m,w,student,0.0,1,.22-caliber revolver,father,32.85756,-116.971045,79.9,9,12,202.0,San Diego County,21.0,0
Bishop Neumann Junior-Senior High,Unknown,3/7/2001,2000-2001,2001,12:00:00,Wednesday,Williamsport,Pennsylvania,private,227,0,1,1,targeted,14,f,w,student,0.0,0,.22-caliber revolver,father,41.249266,-76.996564,21.125,7,12,488.0,Lycoming County,13.0,0
Granite Hills High School,Grossmont Union High,3/22/2001,2000-2001,2001,13:00:00,Thursday,El Cajon,California,public,2846,0,5,5,targeted and indiscriminate,18,m,Unknown,student,0.0,1,Mossberg pump-action 12-gauge shotgun,Unknown,32.800101,-116.916889,112.2,9,12,436.0,San Diego County,21.0,0
Lew Wallace High School,Gary Community School Corp,3/30/2001,2000-2001,2001,08:15:00,Friday,Gary,Indiana,public,1179,1,0,1,targeted,17,m,Unknown,former student (expelled),0.0,1,pistol,Unknown,41.536645,-87.34132,64.0,9,12,446.0,Lake County,13.0,0
